Использую ORCA: /opt/orca/orca
Найдено заданий: 78
[1/78] RUN  cuboctahedron_nn1.60
[1/78] OK   cuboctahedron_nn1.60 (866s)
[2/78] RUN  cuboctahedron_nn1.70_perturb0
[2/78] OK   cuboctahedron_nn1.70_perturb0 (557s)
[3/78] RUN  cuboctahedron_nn1.70_perturb1
[3/78] OK   cuboctahedron_nn1.70_perturb1 (710s)
[4/78] RUN  cuboctahedron_nn1.70_perturb2
[4/78] OK   cuboctahedron_nn1.70_perturb2 (614s)
[5/78] RUN  cuboctahedron_nn1.80
[5/78] OK   cuboctahedron_nn1.80 (996s)
[6/78] RUN  cuboctahedron_nn2.00
[6/78] OK   cuboctahedron_nn2.00 (963s)
[7/78] RUN  cuboctahedron_nn2.00_perturb0
[7/78] OK   cuboctahedron_nn2.00_perturb0 (583s)
[8/78] RUN  cuboctahedron_nn2.00_perturb1
[8/78] OK   cuboctahedron_nn2.00_perturb1 (569s)
[9/78] RUN  cuboctahedron_nn2.00_perturb2
[9/78] OK   cuboctahedron_nn2.00_perturb2 (1302s)
[10/78] RUN  cuboctahedron_nn2.50
[10/78] OK   cuboctahedron_nn2.50 (862s)
[11/78] RUN  cuboctahedron_nn3.00
[11/78] OK   cuboctahedron_nn3.00 (895s)
[12/78] RUN  cuboctahedron_nn5.00
[12/78] OK   cuboctahedron_nn5.00 (1672s)
[13/78] RUN  double_ring_nn1.60
[13/78] OK   double_ring_nn1.60 (191s)
[14/78] RUN  double_ring_nn1.80
[14/78] OK   double_ring_nn1.80 (313s)
[15/78] RUN  double_ring_nn2.00
[15/78] OK   double_ring_nn2.00 (934s)
[16/78] RUN  double_ring_nn2.50
[16/78] OK   double_ring_nn2.50 (1024s)
[17/78] RUN  double_ring_nn3.00
[17/78] OK   double_ring_nn3.00 (2608s)
[18/78] RUN  double_ring_nn5.00
[18/78] OK   double_ring_nn5.00 (5784s)
[19/78] RUN  hex_antiprism_nn1.60
[19/78] OK   hex_antiprism_nn1.60 (75s)
[20/78] RUN  hex_antiprism_nn1.70_perturb0
[20/78] OK   hex_antiprism_nn1.70_perturb0 (206s)
[21/78] RUN  hex_antiprism_nn1.70_perturb1
[21/78] OK   hex_antiprism_nn1.70_perturb1 (207s)
[22/78] RUN  hex_antiprism_nn1.70_perturb2
[22/78] OK   hex_antiprism_nn1.70_perturb2 (186s)
[23/78] RUN  hex_antiprism_nn1.80
[23/78] OK   hex_antiprism_nn1.80 (78s)
[24/78] RUN  hex_antiprism_nn2.00
[24/78] OK   hex_antiprism_nn2.00 (121s)
[25/78] RUN  hex_antiprism_nn2.00_perturb0
[25/78] OK   hex_antiprism_nn2.00_perturb0 (430s)
[26/78] RUN  hex_antiprism_nn2.00_perturb1
[26/78] OK   hex_antiprism_nn2.00_perturb1 (306s)
[27/78] RUN  hex_antiprism_nn2.00_perturb2
[27/78] OK   hex_antiprism_nn2.00_perturb2 (417s)
[28/78] RUN  hex_antiprism_nn2.50
[28/78] OK   hex_antiprism_nn2.50 (688s)
[29/78] RUN  hex_antiprism_nn3.00
[29/78] OK   hex_antiprism_nn3.00 (593s)
[30/78] RUN  hex_antiprism_nn5.00
[30/78] OK   hex_antiprism_nn5.00 (1586s)
[31/78] RUN  hex_prism_nn1.60
[31/78] OK   hex_prism_nn1.60 (128s)
[32/78] RUN  hex_prism_nn1.80
[32/78] OK   hex_prism_nn1.80 (630s)
[33/78] RUN  hex_prism_nn2.00
[33/78] OK   hex_prism_nn2.00 (685s)
[34/78] RUN  hex_prism_nn2.50
[34/78] OK   hex_prism_nn2.50 (990s)
[35/78] RUN  hex_prism_nn3.00
[35/78] OK   hex_prism_nn3.00 (1021s)
[36/78] RUN  hex_prism_nn5.00
[36/78] FAIL hex_prism_nn5.00 (rc=0, 947s)
[37/78] RUN  icosahedron_nn1.60
[37/78] OK   icosahedron_nn1.60 (148s)
[38/78] RUN  icosahedron_nn1.70_perturb0
[38/78] OK   icosahedron_nn1.70_perturb0 (494s)
[39/78] RUN  icosahedron_nn1.70_perturb1
[39/78] OK   icosahedron_nn1.70_perturb1 (419s)
[40/78] RUN  icosahedron_nn1.70_perturb2
[40/78] OK   icosahedron_nn1.70_perturb2 (525s)
[41/78] RUN  icosahedron_nn1.80
[41/78] OK   icosahedron_nn1.80 (117s)
[42/78] RUN  icosahedron_nn2.00
[42/78] OK   icosahedron_nn2.00 (160s)
[43/78] RUN  icosahedron_nn2.00_perturb0
[43/78] OK   icosahedron_nn2.00_perturb0 (339s)
[44/78] RUN  icosahedron_nn2.00_perturb1
