rank,name,status,E_hartree,dE_eV,dE_kcal_mol,converged
1,quasi_planar_nn1.70_perturb0,OK,-297.75064630,0.0000,0.000,True
2,quasi_planar_nn2.00_perturb0,OK,-297.75064167,0.0001,0.003,True
3,quasi_planar_nn2.00,OK,-297.75064045,0.0002,0.004,True
4,quasi_planar_nn3.00,OK,-297.75064018,0.0002,0.004,True
5,quasi_planar_nn2.50,OK,-297.75064014,0.0002,0.004,True
6,quasi_planar_nn1.70_perturb1,OK,-297.75063972,0.0002,0.004,True
7,quasi_planar_nn1.60,OK,-297.75063967,0.0002,0.004,True
8,quasi_planar_nn2.00_perturb1,OK,-297.75063954,0.0002,0.004,True
9,quasi_planar_nn2.00_perturb2,OK,-297.75063952,0.0002,0.004,True
10,quasi_planar_nn1.70_perturb2,OK,-297.75063914,0.0002,0.004,True
11,quasi_planar_nn1.80,OK,-297.75063892,0.0002,0.005,True
12,trunc_tetrahedron_nn2.00,OK,-297.75063421,0.0003,0.008,True
13,random0_nn1.70,OK,-297.69937469,1.3952,32.173,True
14,random1_nn1.70,OK,-297.69933547,1.3962,32.198,True
15,hex_prism_nn2.00,OK,-297.69472954,1.5216,35.088,True
16,hex_prism_nn1.80,OK,-297.69472239,1.5218,35.093,True
17,hex_antiprism_nn1.70_perturb1,OK,-297.69463374,1.5242,35.148,True
18,hex_antiprism_nn2.00_perturb1,OK,-297.69461875,1.5246,35.158,True
19,hex_antiprism_nn1.70_perturb0,OK,-297.69460272,1.5250,35.168,True
20,hex_antiprism_nn2.00_perturb0,OK,-297.69457957,1.5257,35.182,True
21,hex_antiprism_nn2.00_perturb2,OK,-297.69455667,1.5263,35.197,True
22,hex_antiprism_nn1.70_perturb2,OK,-297.69455358,1.5264,35.199,True
23,hex_antiprism_nn3.00,OK,-297.69454592,1.5266,35.204,True
24,hex_antiprism_nn1.60,OK,-297.69454574,1.5266,35.204,True
25,hex_antiprism_nn2.00,OK,-297.69454562,1.5266,35.204,True
26,hex_antiprism_nn2.50,OK,-297.69454463,1.5266,35.204,True
27,hex_antiprism_nn1.80,OK,-297.69454387,1.5266,35.205,True
